Date,Open,High,Low,Close,Volume,pe_ratio,pb_ratio,dividend_yield
2018-11-27,10621.45,10695.15,10596.35,10685.6,382834178,25.85,3.38,1.24
2018-11-28,10708.75,10757.8,10699.85,10728.85,437627174,25.96,3.39,1.24
2018-11-29,10808.7,10883.05,10782.35,10858.7,712650890,26.27,3.43,1.22
2018-11-30,10892.1,10922.45,10835.1,10876.75,467857329,26.31,3.44,1.22
2018-12-03,10930.7,10941.2,10845.35,10883.75,422358631,26.33,3.44,1.22
2018-12-04,10877.1,10890.95,10833.35,10869.5,332137359,26.3,3.44,1.22
2018-12-05,10820.45,10821.05,10747.95,10782.9,322019985,26.09,3.41,1.23
2018-12-06,10718.15,10722.65,10588.25,10601.15,328275196,25.65,3.35,1.25
2018-12-07,10644.8,10704.55,10599.35,10693.7,335849636,25.87,3.38,1.24
2018-12-10,10508.7,10558.85,10474.95,10488.45,393097292,25.37,3.32,1.27
2018-12-11,10350.05,10567.15,10333.85,10549.15,438699334,25.52,3.34,1.26
2018-12-12,10591.0,10752.2,10560.8,10737.6,371697496,25.98,3.4,1.24
2018-12-13,10810.75,10838.6,10749.5,10791.55,387810061,26.11,3.41,1.23
2018-12-14,10784.5,10815.75,10752.1,10805.45,350579275,26.14,3.42,1.23
2018-12-17,10853.2,10900.35,10844.85,10888.35,306145514,26.34,3.44,1.22
2018-12-18,10850.9,10915.4,10819.1,10908.7,294942271,26.39,3.45,1.22
2018-12-19,10930.55,10985.15,10928.0,10967.3,321801803,26.53,3.47,1.21
2018-12-20,10885.2,10962.55,10880.05,10951.7,328802751,26.5,3.46,1.21
2018-12-21,10944.25,10963.65,10738.65,10754.0,389235107,26.02,3.4,1.24
2018-12-24,10780.9,10782.3,10649.25,10663.5,230291344,25.8,3.37,1.25
2018-12-26,10635.45,10747.5,10534.55,10729.85,271942701,25.96,3.39,1.24
2018-12-27,10817.9,10834.2,10764.45,10779.8,470160392,26.08,3.41,1.23
2018-12-28,10820.95,10893.6,10817.15,10859.9,253086507,26.16,3.43,1.24
2018-12-31,10913.2,10923.55,10853.2,10862.55,186494657,26.17,3.38,1.24
2019-01-01,10881.7,10923.6,10807.1,10910.1,159404542,26.28,3.4,1.24
2019-01-02,10868.85,10895.35,10735.05,10792.5,309665939,26.0,3.36,1.25
2019-01-03,10796.8,10814.05,10661.25,10672.25,286241745,25.71,3.32,1.26
2019-01-04,10699.7,10741.05,10628.65,10727.35,296596655,25.84,3.34,1.26
2019-01-07,10804.85,10835.95,10750.15,10771.8,269371080,25.95,3.36,1.25
2019-01-08,10786.25,10818.45,10733.25,10802.15,277697672,26.02,3.36,1.25
2019-01-09,10862.4,10870.4,10749.4,10855.15,333010535,26.15,3.38,1.24
2019-01-10,10859.35,10859.35,10801.8,10821.6,254365477,26.07,3.37,1.25
2019-01-11,10834.75,10850.15,10739.4,10794.95,260792200,26.0,3.36,1.25
2019-01-14,10807.0,10808.0,10692.35,10737.6,298774178,25.8,3.34,1.26
2019-01-15,10777.55,10896.95,10777.55,10886.8,310737078,26.16,3.39,1.24
2019-01-16,10899.65,10928.15,10876.9,10890.3,276539042,26.17,3.39,1.24
2019-01-17,10920.85,10930.65,10844.65,10905.2,271676319,26.21,3.4,1.24
2019-01-18,10914.85,10928.2,10852.2,10906.95,323814108,26.19,3.4,1.24
2019-01-21,10919.35,10987.45,10885.75,10961.85,288829125,26.29,3.41,1.23
2019-01-22,10949.8,10949.8,10864.15,10922.75,300768112,26.54,3.4,1.24
2019-01-23,10931.05,10944.8,10811.95,10831.5,298876314,26.32,3.37,1.25
2019-01-24,10844.05,10866.6,10798.65,10849.8,361082096,26.31,3.38,1.24
2019-01-25,10859.75,10931.7,10756.45,10780.55,463444758,26.14,3.36,1.25
2019-01-28,10792.45,10804.45,10630.95,10661.55,419682627,25.85,3.32,1.27
2019-01-29,10653.7,10690.35,10583.65,10652.2,356908994,25.84,3.32,1.27
2019-01-30,10702.25,10710.2,10612.85,10651.8,410107910,25.84,3.32,1.27
2019-01-31,10690.55,10838.05,10678.55,10830.95,604818027,26.26,3.37,1.25
2019-02-01,10851.35,10983.45,10813.45,10893.65,482272661,26.4,3.39,1.24
2019-02-04,10876.75,10927.9,10814.15,10912.25,318300039,27.02,3.4,1.24
2019-02-05,10908.65,10956.7,10886.7,10934.35,268095127,27.07,3.41,1.23
2019-02-06,10965.1,11072.6,10962.7,11062.45,298510497,27.39,3.45,1.22
2019-02-07,11070.45,11118.1,11043.6,11069.4,263544426,27.41,3.45,1.22
2019-02-08,11023.5,11041.2,10925.45,10943.6,352787419,27.1,3.41,1.23
2019-02-11,10930.9,10930.9,10857.1,10888.8,285985383,26.96,3.39,1.24
2019-02-12,10879.7,10910.9,10823.8,10831.4,292314643,26.84,3.37,1.25
2019-02-13,10870.55,10891.65,10772.1,10793.65,321958549,26.6,3.36,1.25
2019-02-14,10786.1,10792.7,10718.75,10746.05,627041405,26.58,3.35,1.26
2019-02-15,10780.25,10785.75,10620.4,10724.4,521876968,26.53,3.34,1.26
2019-02-18,10738.65,10759.9,10628.4,10640.95,345440240,26.32,3.31,1.27
2019-02-19,10636.7,10722.85,10585.65,10604.35,291507060,26.23,3.3,1.27
2019-02-20,10655.45,10752.7,10646.4,10735.45,289195306,26.5,3.34,1.26
2019-02-21,10744.1,10808.85,10721.5,10789.85,279584955,26.31,3.36,1.25
2019-02-22,10782.7,10801.55,10758.4,10791.65,396846597,26.32,3.41,1.25
2019-02-25,10813.25,10887.1,10788.05,10880.1,385905142,26.53,3.43,1.24
2019-02-26,10775.3,10888.75,10729.3,10835.3,414954476,26.43,3.42,1.25
2019-02-27,10881.2,10939.7,10751.2,10806.65,381080073,26.36,3.41,1.25
2019-02-28,10865.7,10865.7,10784.85,10792.5,644159018,26.32,3.41,1.25
2019-03-01,10842.65,10877.9,10823.1,10863.5,308526309,26.49,3.43,1.24
2019-03-05,10864.85,10994.9,10817.0,10987.45,373220239,26.93,3.47,1.23
2019-03-06,11024.85,11062.3,10998.85,11053.0,372550850,27.09,3.49,1.22
2019-03-07,11077.95,11089.05,11027.1,11058.2,321208766,27.11,3.49,1.22
2019-03-08,11038.85,11049.0,11008.95,11035.4,326569833,27.05,3.48,1.22
2019-03-11,11068.75,11180.9,11059.85,11168.05,352242287,27.38,3.52,1.21
2019-03-12,11231.35,11320.4,11227.0,11301.2,391310519,27.7,3.57,1.19
2019-03-13,11326.2,11352.3,11276.6,11341.7,382996187,27.8,3.58,1.19
2019-03-14,11382.5,11383.45,11313.75,11343.25,294480678,27.81,3.58,1.19
2019-03-15,11376.85,11487.0,11370.8,11426.85,463704896,28.01,3.61,1.18
2019-03-18,11473.85,11530.15,11412.5,11462.2,320250041,28.1,3.62,1.18
2019-03-19,11500.3,11543.85,11451.25,11532.4,326099667,28.27,3.64,1.17
2019-03-20,11553.35,11556.1,11503.1,11521.05,366298049,28.24,3.64,1.17
2019-03-22,11549.2,11572.8,11434.55,11456.9,386193935,28.08,3.62,1.18
2019-03-25,11395.65,11395.65,11311.6,11354.25,294459196,27.83,3.58,1.19
2019-03-26,11375.2,11496.75,11352.45,11483.25,282575496,28.15,3.62,1.18
2019-03-27,11531.45,11546.2,11413.0,11445.05,350446089,28.05,3.61,1.18
2019-03-28,11463.65,11588.5,11452.45,11570.0,527678809,28.36,3.65,1.17
2019-03-29,11625.45,11630.35,11570.15,11623.9,416276981,29.01,3.71,1.13
2019-04-01,11665.2,11738.1,11644.75,11669.15,379572660,29.13,3.72,1.13
2019-04-02,11711.55,11729.35,11655.85,11713.2,386131413,29.24,3.74,1.12
2019-04-03,11735.3,11761.0,11629.15,11643.95,365760070,29.06,3.72,1.13
2019-04-04,11660.2,11662.55,11559.2,11598.0,349029830,28.95,3.7,1.14
2019-04-05,11638.4,11689.65,11609.5,11665.95,266665797,29.12,3.72,1.13
2019-04-08,11704.35,11710.3,11549.1,11604.5,260932608,28.96,3.7,1.14
2019-04-09,11612.05,11683.9,11569.7,11671.95,300467538,29.13,3.72,1.13
2019-04-10,11646.85,11680.05,11571.75,11584.3,359941110,28.91,3.7,1.14
2019-04-11,11592.55,11606.7,11550.55,11596.7,279775726,28.94,3.7,1.14
